id,productId,userId,rating,title,comment,createdAt,updatedAt
fb2bf8c7-c264-4c9d-a032-bb52e4de99ee,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,e50431f7-12b9-4a54-80ec-5f8a6a03c22f,4,Perfect,Good product but a bit overpriced.,2023-10-22T01:19:07.282324Z,2024-04-25T08:22:45.438382Z
57cbfd3e-02e5-4378-97f5-87a8b28f9b7e,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,2c4303d8-9ea8-4ce1-9756-75c872aa3b52,4,Great product!,"Expected more based on reviews, but it's decent.",2022-02-11T00:03:42.780931Z,2023-12-01T06:18:30.293768Z
220da07d-c238-4b1b-9be9-b3cde9f1fbb1,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,6a1658e7-c4b5-40e1-b5d9-7037f02da2f2,4,Good value,"Expected more based on reviews, but it's decent.",2022-09-16T15:23:21.319141Z,2023-01-08T03:42:00.716137Z
d384cad2-00d9-4144-88b5-28b67b7c09c3,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,90d5a2a9-8eba-4bbb-bc57-d1a8ebbc3972,5,Could be better,"Perfect for my needs, great build quality.",2023-01-05T23:51:23.779020Z,2024-08-30T16:38:23.249825Z
b89afeda-2bce-4a10-86d0-a7486eb3dd81,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,d1e79352-c102-432b-bb12-bb78573b0eee,3,Terrible,Good product but a bit overpriced.,2022-03-31T03:08:40.778659Z,2023-12-07T03:02:37.956486Z
4013bc7a-90e3-4c89-b24c-e6d2fb1facac,18ab8c3a-7e68-4bb5-841b-4854ec2ba2fa,acc01fec-8063-46d7-bba1-f3bda58d8375,5,Highly recommend,"Would definitely buy again, very satisfied with the quality.",2023-12-23T14:59:06.078516Z,2024-09-27T19:21:19.760585Z
74c72ffb-384d-4c92-bf82-b809d75951b4,bb0f8a71-8075-4ae2-86cb-35a1972aa5a2,0017ffbe-97c4-4b23-99fe-e540bb9898fd,3,Okay product,"Expected more based on reviews, but it's decent.",2022-02-14T04:12:26.577236Z,2023-07-16T17:22:57.383791Z
a07e97b9-e024-4733-8551-97d81c81d830,bb0f8a71-8075-4ae2-86cb-35a1972aa5a2,a24a2319-f51e-4e24-a6a3-e089646464b4,4,Not bad,Highly recommend to everyone!,2023-03-23T02:30:26.549205Z,2024-08-19T00:10:38.287465Z
741759e8-7516-4406-bd02-76e5d1de48dc,bb0f8a71-8075-4ae2-86cb-35a1972aa5a2,ce1ccc2c-f814-47eb-a483-316e81afd0a4,5,Disappointed,I absolutely love this product! Exceeded my expectations.,2023-08-03T01:50:44.199429Z,2024-09-13T15:43:34.912529Z
30ac21f4-a2d3-498a-a704-5e907bd26aae,bb0f8a71-8075-4ae2-86cb-35a1972aa5a2,9c4d8ce8-18fb-469c-839a-97641f7f6a9c,5,Could be better,Amazing quality and fast shipping!,2024-02-08T16:24:35.817230Z,2024-08-25T12:38:17.216976Z
